gender,age,civilStatus,childrens,district,health,closeFriends,work,workHoursWeek,familyMembers,familiarIncome,fatherStudy,motherStudy,university,typeExam,elementarySchool,profession,yearStudy,universitySelectionReazon,minToTravel,weekStudyTime,failCourses,AsistancePercentage,midterExam,finalExam,practiceGrade,FinalGrade,StudentPerformance
1,26,0,0,2,0,2,0,0,4,1,0,0,0,1,0,2,4,3,120.0,4.0,0,100,14,15,16.0,15.0,2
1,22,1,0,2,0,10,0,0,9,1,0,1,0,1,1,2,4,3,50.0,6.0,0,99,15,15,17.0,15.66666667,2
1,21,0,0,1,0,3,1,30,7,1,1,1,0,1,0,2,4,3,90.0,4.0,0,100,15,15,15.0,15.0,2
0,29,0,0,1,0,4,1,50,8,2,0,0,1,1,0,2,3,3,25.0,5.0,2,90,14,13,15.0,14.0,2
0,19,0,0,2,2,25,0,0,10,1,0,1,1,1,0,2,3,3,45.0,2.0,0,100,15,15,15.0,15.0,2
0,20,1,0,2,0,4,1,25,4,2,1,1,1,1,0,2,3,3,50.0,5.0,2,100,14,13,14.0,13.66666667,2
0,21,1,0,1,0,12,1,7,4,1,1,1,1,1,1,2,3,3,45.0,15.0,0,95,15,15,14.0,14.66666667,2
0,20,1,0,0,2,10,0,0,3,1,0,0,0,1,1,2,4,1,5.0,6.0,3,100,12,11,15.0,12.66666667,1
0,24,1,0,3,0,5,1,48,4,1,1,1,0,1,0,2,4,3,800.0,5.0,4,100,13,12,14.0,13.0,1
1,19,1,0,2,0,10,0,0,5,2,1,1,1,0,1,2,3,1,45.0,7.0,0,100,17,16,17.0,16.66666667,2
0,21,1,0,1,0,4,0,0,4,2,1,1,1,1,1,2,3,1,25.0,3.0,2,98,14,14,15.0,14.33333333,2
0,22,1,0,0,2,2,0,0,3,1,1,0,0,1,1,2,5,1,15.0,4.0,0,95,11,11,13.0,11.66666667,1
0,24,1,0,1,0,5,1,11,4,2,0,0,1,1,0,2,3,3,20.0,20.0,0,95,15,12,14.0,13.66666667,2
0,23,1,0,2,2,5,1,54,5,2,0,1,1,1,1,2,3,3,30.0,4.0,2,95,14,14,15.0,14.33333333,2
1,37,0,2,0,0,10,1,60,4,1,0,0,1,1,0,1,1,1,1.0,4.0,0,99,17,18,18.0,17.66666667,0
1,17,1,0,0,0,20,0,0,7,2,0,0,1,1,0,1,1,3,10.0,3.0,0,100,18,18,18.0,18.0,0
0,29,1,0,2,0,5,1,30,2,2,0,0,0,1,0,2,3,3,60.0,4.0,1,100,16,17,18.0,17.0,2
1,30,1,1,0,0,2,1,60,9,1,1,0,1,1,1,1,1,1,15.0,3.0,0,100,17,17,17.0,17.0,2
0,27,0,1,0,0,2,1,48,3,2,0,0,1,1,0,1,1,1,10.0,3.0,0,100,15,16,15.0,15.33333333,2
1,18,1,0,0,0,1,0,0,9,1,0,0,1,1,0,2,1,1,20.0,3.0,0,50,15,15,15.0,15.0,2
0,21,0,0,0,0,1,0,0,2,1,0,0,1,1,0,1,1,1,20.0,3.0,0,100,16,16,16.0,16.0,2
1,23,1,0,3,2,1,1,48,10,1,1,0,1,1,1,2,4,3,120.0,1.0,0,70,16,15,15.0,15.33333333,2
0,36,0,0,3,0,3,0,0,10,2,0,0,0,1,0,2,3,3,2.0,12.0,1,95,14,13,12.0,13.0,1
0,23,1,0,0,0,4,1,24,7,2,1,0,1,1,0,2,3,3,40.0,2.0,0,98,16,15,16.0,15.66666667,2
1,22,1,0,1,0,2,0,0,7,2,1,0,1,1,1,2,5,1,30.0,7.0,1,100,11,11,12.0,11.33333333,1
1,19,1,0,2,2,2,0,0,6,2,0,0,1,1,0,2,4,1,20.0,8.0,0,100,18,18,17.0,17.66666667,0
0,21,1,0,1,0,4,1,48,2,2,0,0,1,1,0,2,4,3,40.0,20.0,3,90,15,13,16.0,14.66666667,2
1,21,0,0,2,0,1,0,0,3,2,0,1,1,1,0,2,5,1,15.0,10.0,0,100,17,16,18.0,17.0,2
0,32,0,2,3,2,4,0,0,5,2,0,0,1,1,0,1,3,0,140.0,2.0,1,100,16,17,16.0,16.33333333,2
0,37,0,2,0,0,4,1,50,5,2,0,0,1,1,0,2,3,3,70.0,5.0,0,80,18,17,17.0,17.33333333,0
0,19,1,0,1,0,3,0,0,4,1,1,1,1,1,1,2,1,1,50.0,7.0,0,100,18,18,18.0,18.0,0
0,20,1,0,2,0,5,0,0,2,2,0,1,1,1,1,2,2,1,20.0,12.0,0,100,18,18,18.0,18.0,0
0,24,0,0,2,2,10,1,60,7,2,0,0,1,1,1,2,5,1,20.0,3.0,0,98,12,12,15.0,13.0,1
0,18,1,0,2,0,4,0,0,4,2,1,0,1,1,0,2,1,3,60.0,2.0,0,100,20,20,20.0,20.0,0
1,17,1,0,2,0,5,0,0,3,2,0,0,1,1,1,2,1,3,45.0,4.0,0,99,17,16,16.0,16.33333333,2
0,27,1,0,0,2,2,1,50,9,1,0,0,1,1,1,2,3,3,80.0,3.0,2,60,12,12,12.0,12.0,1
1,22,1,0,1,0,2,0,48,5,2,1,1,1,1,0,2,2,1,50.0,6.0,1,10,15,16,13.0,14.66666667,2
0,22,1,0,2,0,2,1,20,4,1,1,0,1,1,1,2,1,1,20.0,2.0,0,80,17,16,18.0,17.0,2
0,29,1,0,2,2,0,0,0,8,1,0,1,1,1,0,2,2,1,20.0,18.0,0,100,20,20,19.0,19.66666667,0
0,34,1,0,3,2,5,1,50,4,2,0,0,0,1,0,2,3,3,1.0,12.0,3,98,15,16,14.0,15.0,2
0,45,0,2,3,0,2,1,24,4,1,0,0,0,1,0,2,3,3,30.0,3.0,4,100,13,13,14.0,13.33333333,2
1,22,0,1,0,0,10,1,30,4,2,1,1,1,0,1,2,4,1,90.0,5.0,4,90,16,16,16.0,16.0,2
0,18,0,0,0,0,4,0,8,6,1,0,0,1,1,0,2,2,1,40.0,3.0,0,100,16,16,16.0,16.0,2
1,20,1,0,2,0,4,0,0,4,1,1,0,1,0,0,2,5,3,40.0,3.0,0,100,16,16,16.0,16.0,2
0,23,1,0,2,0,4,1,45,5,1,0,0,1,1,0,2,3,2,40.0,13.0,0,100,15,17,13.0,15.0,2
0,19,1,0,2,0,10,0,0,8,1,1,1,1,1,1,2,3,1,25.0,3.0,0,95,17,16,15.0,16.0,2
0,24,1,0,1,0,5,1,18,6,2,1,0,1,1,0,2,4,0,40.0,22.0,2,100,14,15,15.0,14.66666667,2
0,19,1,0,2,0,12,0,30,5,1,0,0,1,0,1,2,3,1,5.0,0.0,0,100,15,15,14.0,14.66666667,2
0,24,0,1,2,0,30,1,46,8,2,0,1,1,1,1,2,3,3,10.0,4.0,3,70,12,15,13.0,13.33333333,2
0,25,1,0,1,0,5,1,12,5,2,0,0,1,1,0,2,3,3,60.0,4.0,2,90,14,14,15.0,14.33333333,2
0,24,0,1,2,0,3,1,40,5,2,0,1,1,1,1,2,1,3,30.0,3.0,0,90,16,16,16.0,16.0,2
0,20,1,0,2,0,15,0,0,3,2,1,1,1,1,1,2,5,3,30.0,4.0,0,100,16,16,15.0,15.66666667,2
1,19,1,0,2,0,2,0,0,4,2,0,0,1,0,0,2,5,0,30.0,4.0,0,80,13,14,14.0,13.66666667,2
0,42,0,3,2,0,5,1,80,5,2,1,1,0,1,0,2,3,3,30.0,20.0,0,100,14,14,16.0,14.66666667,2
0,18,1,0,1,0,3,0,0,4,2,1,0,1,1,0,2,2,3,40.0,9.0,0,100,16,17,15.0,16.0,2
0,23,1,0,2,0,3,0,0,4,2,0,0,1,1,0,2,1,3,30.0,4.0,0,100,16,15,16.0,15.66666667,2
1,20,0,0,2,2,4,0,0,2,1,0,0,1,0,0,2,3,0,45.0,4.0,0,95,18,18,18.0,18.0,0
0,21,1,0,0,0,0,1,48,7,1,0,1,1,1,1,2,3,3,50.0,6.0,0,100,15,15,15.0,15.0,2
0,35,0,2,2,0,5,1,48,4,2,1,0,1,1,0,2,3,1,45.0,24.0,1,100,14,13,14.0,13.66666667,2
0,24,1,0,1,0,1,0,50,6,1,0,0,1,1,0,2,2,3,180.0,10.0,0,100,14,17,18.0,16.33333333,2
